phrase,type
[lol<eex>] who did this,slang
loneliness hurts so much,formal
loneliness is the worst feeling there is,formal
look at them,formal
losing me is like losing [yo] 2 front teeth,slang
[lyin] I already [caught-[u]-in-4k],slang
Malaysian soup kitchen soldier on to serve the poor and needy despite nationwide lockdown,formal
meanwhile I already cut myself twice last month,formal
morning Cate have a fabulous day,formal
my new grill is [lit],slang
[nah<eex>] but [fr<shmex>] Maelo be testing my patience everyday,slang
[nah<eex>] this [shit<n>] over,slang
[nah<eex>] you seeking father figures instead,slang
never lose hope,formal
next pandemic the pharmaceutical companies should sell naming rights for the vaccines to raise even more money,formal
no [cuz] she [wouldve] killed him if he became vulnerable,slang
no joke [yall] are [weirddddddd<eadj>],slang
no thanks so [overhyped<adj>],slang
[nooooooooooooooooo<eex>],slang
[nope] [nope] and [nope] never,slang
not that simple,formal
now I can finally do this,formal
[ok<shmex>] i'm tired now back to [shit-posting],slang
old people are what's wrong with this country,formal
[omg<shmex>] hello this edit,slang
[omg<shmex>] I'm so happy for your family,slang
[omg<shmex>] what a [moron<n>],slang
others are noticing your abilities at work and you're in sync,formal
our customers and their staff use IOS and have asked to get modern data governance on their iPhones,formal
Piers Morgan walked off his own show,formal
please literally the [hugest] hug,slang
please retweet and if you are able to please help I really will appreciate it I [haven't-got-no] help yet and I really need,slang
please turn off your autoplay there is a video surfacing around that might [trigger<v>] people who are sensitive to this topic,slang
[pls<shmex>] [rt],slang
[pls<shmex>] use all [ur] [ids] to like [dem],slang
police have stopped a bank robbery yesterday,formal
[ppl<shnpl>] be jealous of [ya] [vibe<n>],slang
Saturdays' Kill the Bill march had the lowest turnout yet,formal
selflove improves your selfesteem and selfconfidence,formal
she couldn't find an easier way of doing this,formal
she fought this for 15 years,formal
show some love to Craig of the Creek,formal
so the rumor is Ateez is [gonna] be the real winner on Kingdom,slang
some of [yall] don't understand [ppl<shnpl>] got limits,slang
stars can't shine without darkness,formal
stop and desist from acquiring a share in the state monopoly,formal
stop gassing up people [y'all] know are unhealthy,slang
stop getting sad over small things,formal
such a [shitty<adj>] thing to do,slang
taking nothing personally is a sign of intelligence,formal
thank you,formal
you could be nicer more often,formal
thank you so much,formal
that's awesome,formal
that's got to hurt,formal
that's [gotta] hurt,slang
[thats] pretty [wicked<adj>],slang
that's [sick<adj>],slang
the concern of the child was taken into consideration by the office of LGK and K positively and directions were passed to the concerned,formal
the government is cracking down on out of control whiplash fraud,formal
the Green party exists to follow the science works to protect our planet from ruinous exploitation,formal
the holy grail for those who like to get the most out of their tailoring,formal
the liberal [crybabies<npl>] whining about the Texas voter ID law are the exact same people who support vaccine passports,slang
the Tampa Bay Lightning take on the Carolina Curricanes in NHL betting action,formal
the trends [im] [gonna] cry,slang
there's no planned disruptions affecting our services this week,formal
these prices are robbery,formal
they are already planning the next pandemic,formal
they are still figuring out this mermaid magic,formal
they don't care I got it,formal
they just won't,formal
they now know [tbh<shmex>],slang
you [couldn't-of] been more wrong,slang
they promised delivery of oxygen and delivering liquor,formal
they're catching up,formal
this applies to so many games it's so dumb,formal
this is a perfect parody,formal
this is amazing,formal
this is such [cancer<n>],slang
this [ur] 4th gen IT boy,slang
we could of course say that,formal
tracking will end at 11 59am,formal
trust the process,formal
[u] are 16 and [u] sound like my sister,slang
[uh<eex>] [thatll] be a no for me,slang
[ummm<eex>] [ok<shmex>] man's screaming at me because I preferred the old logo,slang
[ur] parents' house have everything you need except peace,slang
very sad that the new car logo I got is significantly smaller than my old one,formal
[veryyyyy],slang
was it just the sunny weather keeping people away,formal
We couldn't find a Readwise account associated with your handle,formal
we fight for our rights,formal
We have a new [pic],slang
We have helped 40k students,formal
we have lit the new grill yesterday,formal
we need 30k orders and each average of at least 8,formal
we [rocked] yesterday,slang
[were] spoiled [rn<shmex>],slang
what a [bloody<adj>] [lowlife<n>],slang
what [bae<pex>] say,slang
what do our customers say,formal
what more do you want,formal
when was your realization moment,formal
where are you [bestie<pex>],slang
why are you against free speech,formal
why are you not calling for his resignation or arrest,formal
why is this me last year [skdkkd<eex>],slang
they [could-of] listened to you,slang
why worry when you can pray,formal
[wtf<eex>] do they do,slang
[wth<eex>] is happening,slang
[wuahh<eex>] why too much blood [ah<eex>],slang
[yall] be enabling their eating disorders,slang
[y'all] better buy,slang
[y'all] don't blame Hybe and Belift because of Kyungmin and Hanbin,slang
[yall] act like Kanye can rap,slang
[yeah<eex>] okay this one is [tho],slang
yes I'm still getting my hair done,formal
Yes mostly relatives most of my friends are likeminded,formal
[yessssss],slang
you [aint] never [gonna] smile the same,slang
you are lying,formal
you are so [lit] [man<pex>],slang
I could have gone home by now,formal
you can learn a lot about a person just by reading his bio,formal
you don't forget you learn to come to terms and accept,formal
you have an urge to be out and about and this is likely born,formal
you should've ran away,formal
you're a [real-one<mwn>] if you remember Dinosaur Office on 3DS,slang
you're not the Secretary of State and have no business involving yourself,formal
you [could-of] done it better,slang
when Trump goes to prison they should have tours so people can see him in captivity,formal
all the proceeds go to charity,formal
I wonder how the voice actors felt while recording their lines for Alice in Wonderland,formal
[yall] know [how-it-be],slang
[erm<eex>] ratio,slang
no need to be [salty<adj>],slang
[yayyy<eex>] I'll add [u] when I finish making it,slang
and if you've wronged someone make it right,formal
[omg<shmex>],slang
nice at first I thought it was hair and then looked closer [xd] lovely,slang
flight turbulence stresses me out,formal
this is [gonna] be so good hold on,slang
no more words needed,formal
the BBC are a disgrace,formal
dear heart stop getting emotional your duty is to pump blood that's it,formal
the only reason I attend E3 is to see old industry friends and hang out,formal
thank you [bestie<pex>] I knew you'd understand me,slang
[heyyyy<eex>] twitter,slang
anime [sucks],slang
I need the scammers to leave me alone,formal
[aaaaahhhhh<eex>] we did it,slang
loving all the Chelsea players [atm<shmex>],slang
2020 felt like it took years and 2021 is speeding by,formal
I will always proudly support Donald Trump,formal
[yeah<eex>] Minecraft is [bussin],slang
[u] can literally feel when [u] [dont] mean [shit<n>] to a person,slang
what a position to be in,formal
just posted a video,formal
good news I got replied to by ShirI Allwood,formal
my state is so embarrassing,formal
[aww<eex>] thanks [hun<pex>],slang
someone made a Studio Ghibli inspired teapot,formal
it gets worse,formal
I thought [u] was an attack helicopter,slang
[u] might be going to hell brother,slang
okay I got you,formal
[lmao<eex>] [hes] the standard,slang
[aaaaaah<eex>] I miss [u] so bad,slang
[erm<eex>] I'm so happy,slang
anything was better than Trump [ok<shmex>],slang
[erm<eex>] so cute,slang
be less [bomb<adj>] this year,slang
cant come at people all [bomb<adj>] all of a sudden and think that we [aint] smart enough to see through the hypocrisy,slang
close not me [rn<shmex>],slang
[congrats] [luv<pex>],slang
Dery we love you [btw<shmex>] stay strong,slang
[bae<pex>] how do people take such [in-yo-face<adj>] pictures every single day,slang
for example if [its] written in English while being Spanish obviously [hes] [hyper<adj>],slang
[aaaaaah<eex>],slang
happy 25th birthday to my [bro<pex>],slang
happy birthday [luv<pex>] hope you have [a-good-one<mwexn>],slang
happy birthday Dineshkarthik god bless [luv<pex>],slang
have a good day [one-and-only<pex>],slang
[wth<eex>] I am a bit red,slang
I got watched as I sat in my chair and she made me feel weird [fr<shmex>] she asked me so many times I was like do I look sick,slang
I will look dead [up-in-arms<adj>],slang
[imo] yes considerably less [vibe<n>] and some of their phones have modular add ons,slang
it felt fitting [heyyyy<eex>],slang
it is good [ah<eex>],slang
[wth<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[skdkkd<eex>] careful with the insults,slang
[yayyy<eex>] who did this,slang
[ummm<eex>] but [btw<shmex>] Maelo be testing my patience everyday,slang
[ah<eex>] this [moron<n>] over,slang
[wuahh<eex>] you seeking father figures instead,slang
no thanks so [retarded<adj>],slang
[aaaaahhhhh<eex>],slang
[rn<shmex>] i'm tired now back to [shit-posting],slang
[fr<shmex>] hello this edit,slang
[rn<shmex>] I'm so happy for your family,slang
[btw<shmex>] what a [lowlife<n>],slang
[ok<shmex>] [rt],slang
[bc<shmex>] use all [ur] [ids] to like [dem],slang
[ppl<shnpl>] be jealous of [ya] [bloat<n>],slang
such a [sick<adj>] thing to do,slang
[thats] pretty [bloody<adj>],slang
that's [wicked<adj>],slang
they now know [atm<shmex>],slang
this is such [vibe<n>],slang
[lmao<eex>] [thatll] be a no for me,slang
[yeah<eex>] [tbh<shmex>] man's screaming at me because I preferred the old logo,slang
[were] spoiled [ok<shmex>],slang
what a [hyper<adj>] [bloat<n>],slang
what [luv<pex>] say,slang
where are you [man<pex>],slang
why is this me last year [aww<eex>],slang
[aaaaahhhhh<eex>] do they do,slang
[awww<eex>] is happening,slang
[nooooooooooooooooo<eex>] why too much blood [nah<eex>],slang
you are so [lit] [buddy<pex>],slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] ratio,slang
no need to be [sick<adj>],slang
[ah<eex>] I'll add [u] when I finish making it,slang
thank you [luv<pex>] I knew you'd understand me,slang
[wuahh<eex>] twitter,slang
[skdkkd<eex>] we did it,slang
loving all the Chelsea players [fr<shmex>],slang
[wth<eex>] Minecraft is [bussin],slang
[u] can literally feel when [u] [dont] mean [moron<n>] to a person,slang
[yeah<eex>] thanks [bro<pex>],slang
[heyyyy<eex>] [hes] the standard,slang
[aww<eex>] I miss [u] so bad,slang
[yeah<eex>] I'm so happy,slang
anything was better than Trump [rn<shmex>],slang
[wth<eex>] so cute,slang
be less [salty<adj>] this year,slang
cant come at people all [hyper<adj>] all of a sudden and think that we [aint] smart enough to see through the hypocrisy,slang
close not me [ok<shmex>],slang
[congrats] [bae<pex>],slang
[man<pex>] how do people take such [sick<adj>] pictures every single day,slang
for example if [its] written in English while being Spanish obviously [hes] [bomb<adj>],slang
happy 25th birthday to my [buddy<pex>],slang
happy birthday [bestie<pex>] hope you have [a-good-one<mwexn>],slang
have a good day [hun<pex>],slang
[wuahh<eex>] I am a bit red,slang
I got watched as I sat in my chair and she made me feel weird [btw<shmex>] she asked me so many times I was like do I look sick,slang
I will look dead [bomb<adj>],slang
it felt fitting [hmm<eex>],slang
it is good [yeah<eex>],slang
[hmm<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[wuahh<eex>],slang
[awww<eex>] who did this,slang
[nooooooooooooooooo<eex>] but [ok<shmex>] Maelo be testing my patience everyday,slang
[nooooooooooooooooo<eex>] this [shit<n>] over,slang
[heyyyy<eex>] you seeking father figures instead,slang
no thanks so [hyper<adj>],slang
[heyyyy<eex>],slang
[btw<shmex>] i'm tired now back to [shit-posting],slang
[fr<shmex>] I'm so happy for your family,slang
[atm<shmex>] what a [lowlife<n>],slang
[btw<shmex>] [rt],slang
[tbh<shmex>] use all [ur] [ids] to like [dem],slang
[ppl<shnpl>] be jealous of [ya] [cancer<n>],slang
such a [bomb<adj>] thing to do,slang
[thats] pretty [retarded<adj>],slang
that's [bloody<adj>],slang
this is such [shit<n>],slang
[ummm<eex>] [thatll] be a no for me,slang
[aaaaa<eex>] [rn<shmex>] man's screaming at me because I preferred the old logo,slang
[were] spoiled [atm<shmex>],slang
what a [retarded<adj>] [moron<n>],slang
what [dude<pex>] say,slang
where are you [hun<pex>],slang
[uh<eex>] do they do,slang
[aaaaa<eex>] is happening,slang
[wtf<eex>] why too much blood [hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>],slang
[heyyyy<eex>] okay this one is [tho],slang
no need to be [overhyped<adj>],slang
[aaaaaah<eex>] I'll add [u] when I finish making it,slang
[rn<shmex>],slang
[skdkkd<eex>] twitter,slang
[ah<eex>] we did it,slang
loving all the Chelsea players [rn<shmex>],slang
[u] can literally feel when [u] [dont] mean [vibe<n>] to a person,slang
[ah<eex>] thanks [man<pex>],slang
[erm<eex>] [hes] the standard,slang
[nah<eex>] I miss [u] so bad,slang
[ah<eex>] I'm so happy,slang
anything was better than Trump [omg<shmex>],slang
[aaaaa<eex>] so cute,slang
be less [overhyped<adj>] this year,slang
[congrats] [man<pex>],slang
Dery we love you [fr<shmex>] stay strong,slang
[bae<pex>] how do people take such [salty<adj>] pictures every single day,slang
for example if [its] written in English while being Spanish obviously [hes] [in-yo-face<adj>],slang
happy birthday [hun<pex>] hope you have [a-good-one<mwexn>],slang
[yeah<eex>] I am a bit red,slang
I got watched as I sat in my chair and she made me feel weird [rn<shmex>] she asked me so many times I was like do I look sick,slang
I will look dead [bloody<adj>],slang
[imo] yes considerably less [moron<n>] and some of their phones have modular add ons,slang
it felt fitting [ah<eex>],slang
it is good [yayyy<eex>],slang
[aaaaaah<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[uh<eex>],slang
[hmm<eex>] careful with the insults,slang
[yeah<eex>] who did this,slang
[aaaaaah<eex>] but [fr<shmex>] Maelo be testing my patience everyday,slang
[aaaaahhhhh<eex>] this [cancer<n>] over,slang
[ah<eex>] you seeking father figures instead,slang
no thanks so [in-yo-face<adj>],slang
[aww<eex>],slang
[atm<shmex>] i'm tired now back to [shit-posting],slang
[atm<shmex>] what a [bloat<n>],slang
[atm<shmex>] use all [ur] [ids] to like [dem],slang
[ppl<shnpl>] be jealous of [ya] [moron<n>],slang
such a [bloody<adj>] thing to do,slang
[thats] pretty [in-yo-face<adj>],slang
they now know [fr<shmex>],slang
this is such [lowlife<n>],slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] [thatll] be a no for me,slang
[yeah<eex>] [bc<shmex>] man's screaming at me because I preferred the old logo,slang
[were] spoiled [btw<shmex>],slang
what a [bloody<adj>] [cancer<n>],slang
where are you [one-and-only<pex>],slang
why is this me last year [lmao<eex>],slang
[wth<eex>] why too much blood [ah<eex>],slang
[hmm<eex>] okay this one is [tho],slang
you are so [lit] [bae<pex>],slang
[ah<eex>] ratio,slang
[lol<eex>] I'll add [u] when I finish making it,slang
[ok<shmex>],slang
thank you [man<pex>] I knew you'd understand me,slang
[yayyy<eex>] twitter,slang
[yeah<eex>] we did it,slang
[uh<eex>] Minecraft is [bussin],slang
[heyyyy<eex>] thanks [luv<pex>],slang
[aaaaahhhhh<eex>] [hes] the standard,slang
[skdkkd<eex>] I miss [u] so bad,slang
[skdkkd<eex>] I'm so happy,slang
anything was better than Trump [btw<shmex>],slang
[lol<eex>] so cute,slang
be less [bloody<adj>] this year,slang
cant come at people all [overhyped<adj>] all of a sudden and think that we [aint] smart enough to see through the hypocrisy,slang
[congrats] [buddy<pex>],slang
[man<pex>] how do people take such [hyper<adj>] pictures every single day,slang
for example if [its] written in English while being Spanish obviously [hes] [bloody<adj>],slang
[wth<eex>],slang
happy 25th birthday to my [bae<pex>],slang
happy birthday [dude<pex>] hope you have [a-good-one<mwexn>],slang
have a good day [bae<pex>],slang
[aaaaaah<eex>] I am a bit red,slang
[nah<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[wuahh<eex>] careful with the insults,slang
[aaaaahhhhh<eex>] who did this,slang
[yayyy<eex>] this [lowlife<n>] over,slang
[awww<eex>] you seeking father figures instead,slang
[yayyy<eex>],slang
[atm<shmex>] hello this edit,slang
[bc<shmex>] I'm so happy for your family,slang
[bc<shmex>] what a [vibe<n>],slang
such a [retarded<adj>] thing to do,slang
they now know [omg<shmex>],slang
[yayyy<eex>] [thatll] be a no for me,slang
[wtf<eex>] [tbh<shmex>] man's screaming at me because I preferred the old logo,slang
what [one-and-only<pex>] say,slang
why is this me last year [nooooooooooooooooo<eex>],slang
[erm<eex>] do they do,slang
[nah<eex>] is happening,slang
[erm<eex>] why too much blood [erm<eex>],slang
[wtf<eex>] okay this one is [tho],slang
you are so [lit] [bestie<pex>],slang
[wuahh<eex>] ratio,slang
[wth<eex>] I'll add [u] when I finish making it,slang
[wtf<eex>] twitter,slang
[yayyy<eex>] we did it,slang
[erm<eex>] Minecraft is [bussin],slang
[aaaaahhhhh<eex>] thanks [bro<pex>],slang
[nah<eex>] [hes] the standard,slang
[uh<eex>] I miss [u] so bad,slang
[wtf<eex>] I'm so happy,slang
anything was better than Trump [pls<shmex>],slang
[aww<eex>] so cute,slang
cant come at people all [bloody<adj>] all of a sudden and think that we [aint] smart enough to see through the hypocrisy,slang
close not me [tbh<shmex>],slang
[congrats] [hun<pex>],slang
Dery we love you [ok<shmex>] stay strong,slang
[bestie<pex>] how do people take such [in-yo-face<adj>] pictures every single day,slang
[ah<eex>],slang
happy 25th birthday to my [man<pex>],slang
happy birthday Dineshkarthik god bless [bestie<pex>],slang
have a good day [man<pex>],slang
[aaaaa<eex>] I am a bit red,slang
it felt fitting [wth<eex>],slang
it is good [nah<eex>],slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[lmao<eex>],slang
[yeah<eex>] but [ok<shmex>] Maelo be testing my patience everyday,slang
[lmao<eex>] this [lowlife<n>] over,slang
[yeah<eex>] you seeking father figures instead,slang
no thanks so [bloody<adj>],slang
[bc<shmex>] i'm tired now back to [shit-posting],slang
[omg<shmex>] what a [bloat<n>],slang
[tbh<shmex>] [rt],slang
[omg<shmex>] use all [ur] [ids] to like [dem],slang
[ppl<shnpl>] be jealous of [ya] [shit<n>],slang
[thats] pretty [up-in-arms<adj>],slang
that's [in-yo-face<adj>],slang
this is such [moron<n>],slang
[nooooooooooooooooo<eex>] [thatll] be a no for me,slang
[ummm<eex>] [btw<shmex>] man's screaming at me because I preferred the old logo,slang
what a [salty<adj>] [bloat<n>],slang
why is this me last year [nah<eex>],slang
[hmm<eex>] do they do,slang
[wtf<eex>] is happening,slang
[awww<eex>] why too much blood [awww<eex>],slang
[skdkkd<eex>] okay this one is [tho],slang
you are so [lit] [luv<pex>],slang
[wth<eex>] ratio,slang
no need to be [wicked<adj>],slang
[ummm<eex>] I'll add [u] when I finish making it,slang
[tbh<shmex>],slang
[ah<eex>] twitter,slang
loving all the Chelsea players [tbh<shmex>],slang
[aww<eex>] Minecraft is [bussin],slang
[wtf<eex>] thanks [one-and-only<pex>],slang
[aaaaaah<eex>] [hes] the standard,slang
[nooooooooooooooooo<eex>] I miss [u] so bad,slang
[ah<eex>] so cute,slang
be less [retarded<adj>] this year,slang
cant come at people all [salty<adj>] all of a sudden and think that we [aint] smart enough to see through the hypocrisy,slang
Dery we love you [rn<shmex>] stay strong,slang
[hun<pex>] how do people take such [up-in-arms<adj>] pictures every single day,slang
for example if [its] written in English while being Spanish obviously [hes] [shitty<adj>],slang
happy birthday Dineshkarthik god bless [man<pex>],slang
I got watched as I sat in my chair and she made me feel weird [tbh<shmex>] she asked me so many times I was like do I look sick,slang
it felt fitting [wuahh<eex>],slang
it is good [awww<eex>],slang
[wtf<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[nooooooooooooooooo<eex>] careful with the insults,slang
[hmm<eex>] but [pls<shmex>] Maelo be testing my patience everyday,slang
[wth<eex>] this [bloat<n>] over,slang
[ummm<eex>] you seeking father figures instead,slang
no thanks so [up-in-arms<adj>],slang
[awww<eex>],slang
[tbh<shmex>] i'm tired now back to [shit-posting],slang
[pls<shmex>] hello this edit,slang
[thats] pretty [sick<adj>],slang
[yeah<eex>] [thatll] be a no for me,slang
[ah<eex>] [bc<shmex>] man's screaming at me because I preferred the old logo,slang
what a [in-yo-face<adj>] [bloat<n>],slang
what [man<pex>] say,slang
where are you [buddy<pex>],slang
why is this me last year [aaaaaah<eex>],slang
[awww<eex>] do they do,slang
[yayyy<eex>] is happening,slang
[heyyyy<eex>] why too much blood [erm<eex>],slang
[aaaaahhhhh<eex>] okay this one is [tho],slang
[lmao<eex>] ratio,slang
no need to be [in-yo-face<adj>],slang
[wtf<eex>] I'll add [u] when I finish making it,slang
[btw<shmex>],slang
[wuahh<eex>] we did it,slang
loving all the Chelsea players [ok<shmex>],slang
[ah<eex>] Minecraft is [bussin],slang
[u] can literally feel when [u] [dont] mean [cancer<n>] to a person,slang
[lmao<eex>] I miss [u] so bad,slang
[aww<eex>] I'm so happy,slang
anything was better than Trump [bc<shmex>],slang
[nooooooooooooooooo<eex>] so cute,slang
close not me [bc<shmex>],slang
[congrats] [one-and-only<pex>],slang
Dery we love you [atm<shmex>] stay strong,slang
[bestie<pex>] how do people take such [bloody<adj>] pictures every single day,slang
[hmm<eex>],slang
happy 25th birthday to my [bestie<pex>],slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] I am a bit red,slang
[imo] yes considerably less [shit<n>] and some of their phones have modular add ons,slang
[aaaaahhhhh<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[erm<eex>] careful with the insults,slang
[ah<eex>] who did this,slang
[erm<eex>] but [bc<shmex>] Maelo be testing my patience everyday,slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] this [cancer<n>] over,slang
no thanks so [bomb<adj>],slang
[erm<eex>],slang
[bc<shmex>] hello this edit,slang
[rn<shmex>] what a [cancer<n>],slang
[bc<shmex>] [rt],slang
such a [hyper<adj>] thing to do,slang
that's [salty<adj>],slang
[awww<eex>] [thatll] be a no for me,slang
[yeah<eex>] [atm<shmex>] man's screaming at me because I preferred the old logo,slang
[were] spoiled [pls<shmex>],slang
where are you [bae<pex>],slang
[ummm<eex>] do they do,slang
[lmao<eex>] why too much blood [skdkkd<eex>],slang
[wth<eex>] okay this one is [tho],slang
you are so [lit] [dude<pex>],slang
[heyyyy<eex>] ratio,slang
no need to be [retarded<adj>],slang
[fr<shmex>],slang
thank you [buddy<pex>] I knew you'd understand me,slang
[lmao<eex>] we did it,slang
[u] can literally feel when [u] [dont] mean [bloat<n>] to a person,slang
[lol<eex>] thanks [dude<pex>],slang
anything was better than Trump [fr<shmex>],slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] so cute,slang
be less [wicked<adj>] this year,slang
cant come at people all [retarded<adj>] all of a sudden and think that we [aint] smart enough to see through the hypocrisy,slang
close not me [fr<shmex>],slang
[one-and-only<pex>] how do people take such [retarded<adj>] pictures every single day,slang
[wtf<eex>],slang
happy 25th birthday to my [hun<pex>],slang
happy birthday [bae<pex>] hope you have [a-good-one<mwexn>],slang
have a good day [bro<pex>],slang
I will look dead [wicked<adj>],slang
[heyyyy<eex>] careful with the insults,slang
[aaaaaah<eex>] but [rn<shmex>] Maelo be testing my patience everyday,slang
[awww<eex>] this [moron<n>] over,slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] you seeking father figures instead,slang
no thanks so [sick<adj>],slang
[nah<eex>],slang
[omg<shmex>] i'm tired now back to [shit-posting],slang
