phrase,type
ok i'm tired now back to shit posting,slang
old people are what's wrong with this country,formal
omg hello this edit,slang
omg i'm so happy for your family,slang
omg what a moron,slang
others are noticing your abilities at work and you're in sync,formal
our customers and their staff use ios and have asked to get modern data governance on their iphones,formal
piers morgan walked off his own show,formal
please literally the hugest hug,slang
please retweet and if you are able to please help i really will appreciate it i haven't got no help yet and i really need,slang
please turn off your autoplay there is a video surfacing around that might trigger people who are sensitive to this topic,slang
pls rt,slang
pls use all ur ids to like dem,slang
police have stopped a bank robbery yesterday,formal
ppl be jealous of ya vibe,slang
saturdays' kill the bill march had the lowest turnout yet,formal
selflove improves your selfesteem and selfconfidence,formal
she couldn't find an easier way of doing this,formal
she fought this for 15 years,formal
show some love to craig of the creek,formal
so the rumor is ateez is gonna be the real winner on kingdom,slang
some of yall don't understand ppl got limits,slang
stars can't shine without darkness,formal
stop and desist from acquiring a share in the state monopoly,formal
stop gassing up people y'all know are unhealthy,slang
stop getting sad over small things,formal
such a shitty thing to do,slang
taking nothing personally is a sign of intelligence,formal
thank you,formal
you could be nicer more often,formal
thank you so much,formal
that's awesome,formal
that's got to hurt,formal
that's gotta hurt,slang
thats pretty wicked,slang
that's sick,slang
the concern of the child was taken into consideration by the office of lgk and k positively and directions were passed to the concerned,formal
the government is cracking down on out of control whiplash fraud,formal
the green party exists to follow the science works to protect our planet from ruinous exploitation,formal
the holy grail for those who like to get the most out of their tailoring,formal
the liberal crybabies whining about the texas voter id law are the exact same people who support vaccine passports,slang
the tampa bay lightning take on the carolina curricanes in nhl betting action,formal
the trends im gonna cry,slang
there's no planned disruptions affecting our services this week,formal
these prices are robbery,formal
they are already planning the next pandemic,formal
they are still figuring out this mermaid magic,formal
they don't care i got it,formal
they just won't,formal
they now know tbh,slang
you couldn't of been more wrong,slang
they promised delivery of oxygen and delivering liquor,formal
they're catching up,formal
this applies to so many games it's so dumb,formal
this is a perfect parody,formal
this is amazing,formal
this is such cancer,slang
this ur 4th gen it boy,slang
we could of course say that,formal
tracking will end at 11 59am,formal
trust the process,formal
u are 16 and u sound like my sister,slang
uh thatll be a no for me,slang
ummm ok man's screaming at me because i preferred the old logo,slang
ur parents' house have everything you need except peace,slang
very sad that the new car logo i got is significantly smaller than my old one,formal
veryyyyy,slang
was it just the sunny weather keeping people away,formal
we couldn't find a readwise account associated with your handle,formal
we fight for our rights,formal
we have a new pic,slang
we have helped 40k students,formal
we have lit the new grill yesterday,formal
we need 30k orders and each average of at least 8,formal
we rocked yesterday,slang
were spoiled rn,slang
what a bloody lowlife,slang
what bae say,slang
what do our customers say,formal
what more do you want,formal
when was your realization moment,formal
where are you bestie,slang
why are you against free speech,formal
why are you not calling for his resignation or arrest,formal
why is this me last year skdkkd,slang
they could of listened to you,slang
why worry when you can pray,formal
wtf do they do,slang
wth is happening,slang
wuahh why too much blood ah,slang
yall be enabling their eating disorders,slang
y'all better buy,slang
y'all don't blame hybe and belift because of kyungmin and hanbin,slang
yall act like kanye can rap,slang
yeah okay this one is tho,slang
yes i'm still getting my hair done,formal
yes mostly relatives most of my friends are likeminded,formal
yessssss,slang
you aint never gonna smile the same,slang
you are lying,formal
you are so lit man,slang
i could have gone home by now,formal
you can learn a lot about a person just by reading his bio,formal
you don't forget you learn to come to terms and accept,formal
you have an urge to be out and about and this is likely born,formal
you should've ran away,formal
you're a real one if you remember dinosaur office on 3ds,slang
you're not the secretary of state and have no business involving yourself,formal
you could of done it better,slang
when trump goes to prison they should have tours so people can see him in captivity,formal
all the proceeds go to charity,formal
i wonder how the voice actors felt while recording their lines for alice in wonderland,formal
yall know how it be,slang
erm ratio,slang
no need to be salty,slang
yayyy i'll add u when i finish making it,slang
and if you've wronged someone make it right,formal
omg,slang
nice at first i thought it was hair and then looked closer xd lovely,slang
flight turbulence stresses me out,formal
this is gonna be so good hold on,slang
no more words needed,formal
the bbc are a disgrace,formal
dear heart stop getting emotional your duty is to pump blood that's it,formal
the only reason i attend e3 is to see old industry friends and hang out,formal
thank you bestie i knew you'd understand me,slang
heyyyy twitter,slang
anime sucks,slang
i need the scammers to leave me alone,formal
aaaaahhhhh we did it,slang
loving all the chelsea players atm,slang
2020 felt like it took years and 2021 is speeding by,formal
i will always proudly support donald trump,formal
yeah minecraft is bussin,slang
u can literally feel when u dont mean shit to a person,slang
what a position to be in,formal
just posted a video,formal
good news i got replied to by shiri allwood,formal
my state is so embarrassing,formal
aww thanks hun,slang
someone made a studio ghibli inspired teapot,formal
it gets worse,formal
i thought u was an attack helicopter,slang
u might be going to hell brother,slang
okay i got you,formal
lmao hes the standard,slang
